Project,Date,Country,Latitude,Longitude,Site,Condition,Species,Genotype,Temperature,Timepoint,Pam_value
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,2,28.04,420,0.568
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,3,28.04,420,0.591
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,4,28.04,420,0.565
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,5,28.04,420,0.589
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,6,28.04,420,0.548
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,7,28.04,420,0.562
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,8,28.04,420,0.611
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,9,28.04,420,0.617
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,10,28.04,420,0.553
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,11,28.04,420,0.618
Global_Search_Caribbean,22220524,CUW,12.083572,-68.897027,Curacao,Caribbean,Acropora palmata,12,28.04,420,0.612
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,1,37.07,420,0.044
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,2,37.07,420,0.035
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,3,37.07,420,0.03
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,4,37.07,420,0
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,5,37.07,420,0.009
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,6,37.07,420,0.041
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,7,37.07,420,0.01
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,8,37.07,420,0.006
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,9,37.07,420,0.054
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,10,37.07,420,0.046
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,11,37.07,420,0.015
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,12,37.07,420,0
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,1,34.04,420,0.304
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,2,34.04,420,0.37
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,3,34.04,420,0.405
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,4,34.04,420,0.235
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,5,34.04,420,0.267
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,6,34.04,420,0.373
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,7,34.04,420,0.208
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,8,34.04,420,0.299
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,9,34.04,420,0.29
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,10,34.04,420,0.317
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,11,34.04,420,0.359
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,12,34.04,420,0.345
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,1,32.04,420,0.484
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,2,32.04,420,0.485
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,3,32.04,420,0.474
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,4,32.04,420,0.413
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,5,32.04,420,0.374
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,6,32.04,420,0.526
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,7,32.04,420,0.333
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,8,32.04,420,0.467
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,9,32.04,420,0.378
Global_Search_Caribbean,22220525,CUW,12.10932,-68.95443,Curacao,Caribbean,Orbicella faveolata,10,32.04,420,0.442
