Project,Date,Country,Latitude,Longitude,Site,Species,Genotype,Condition,Temperature,Timepoint,Pam_value
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,9,shallow,29.5,T2,0.631
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,PocilloPoritesa verrucosa,10,shallow,29.5,T2,0.636
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,1,deep,29.5,T2,0.582
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,2,deep,29.5,T2,0.597
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,3,deep,29.5,T2,0.606
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,4,deep,29.5,T2,0.586
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,5,deep,29.5,T2,0.582
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,6,shallow,29.5,T2,0.594
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,7,shallow,29.5,T2,0.551
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,8,shallow,29.5,T2,0.547
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,9,shallow,29.5,T2,0.563
Maldives_CBASS_workshop_2024,20241212,MV,3.090909727,72.96750567,MarHE Coral Garden,Porites,10,shallow,29.5,T2,0.582
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,1,deep,39.5,T1,0
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,2,deep,39.5,T1,0
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,3,deep,39.5,T1,0.07
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,4,deep,39.5,T1,0.086
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,5,deep,39.5,T1,0
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,6,deep,39.5,T1,0.045
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,7,deep,39.5,T1,0.077
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,8,deep,39.5,T1,0
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,1,deep,37,T1,0.281
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,2,deep,37,T1,0.373
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,3,deep,37,T1,0.47
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,4,deep,37,T1,0.477
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,5,deep,37,T1,0.418
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,6,deep,37,T1,0.281
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,7,deep,37,T1,0.287
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,8,deep,37,T1,0.358
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,1,deep,34,T1,0.586
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,2,deep,34,T1,0.622
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,3,deep,34,T1,0.593
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,4,deep,34,T1,0.626
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,5,deep,34,T1,0.603
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,6,deep,34,T1,0.571
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,7,deep,34,T1,0.607
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,8,deep,34,T1,0.589
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,1,deep,29.5,T1,0.685
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,2,deep,29.5,T1,0.719
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,3,deep,29.5,T1,0.673
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,4,deep,29.5,T1,0.637
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,5,deep,29.5,T1,0.601
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,6,deep,29.5,T1,0.648
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,7,deep,29.5,T1,0.487
Maldives_CBASS_workshop_2024,20241214,MV,3.090909727,72.96750567,MarHE Coral Garden,Diploastrea,8,deep,29.5,T1,0.659
